timestamp,datetime,midpoint,best_bid,best_ask,spread,bid_depth_top5,ask_depth_top5
1771007696,2026-02-14T02:34:56.211300,0.184,0.188,0.18,0.008,13248.12,7742.889999999999
1771007945,2026-02-14T02:39:05.869516,0.171,0.176,0.166,0.01,2262.81,13240.16
1771008125,2026-02-14T02:42:05.865064,0.1735,0.177,0.17,0.007,1208.07,16771.96
1771008305,2026-02-14T02:45:05.913889,0.153,0.156,0.15,0.006,10606.67,12941.32
1771008485,2026-02-14T02:48:05.892177,0.1465,0.15,0.143,0.007,10858.380000000001,19387.8
1771008668,2026-02-14T02:51:08.350035,0.1405,0.146,0.135,0.011,17048.27,14564.23
1771008845,2026-02-14T02:54:05.950945,0.144,0.147,0.141,0.006,21637.74,17169.93
1771009025,2026-02-14T02:57:05.979574,0.145,0.147,0.143,0.004,26530.14,15663.0
1771009206,2026-02-14T03:00:06.041177,0.143,0.144,0.142,0.002,27288.43,4941.1
1771009386,2026-02-14T03:03:06.136810,0.1415,0.143,0.14,0.003,25997.67,14354.82
1771009566,2026-02-14T03:06:06.063218,0.1415,0.143,0.14,0.003,20407.04,13680.39
1771009746,2026-02-14T03:09:06.060064,0.1415,0.143,0.14,0.003,19635.010000000002,13239.45
1771009926,2026-02-14T03:12:06.166171,0.1415,0.143,0.14,0.003,18377.54,12771.38
1771010106,2026-02-14T03:15:06.219136,0.141,0.142,0.14,0.002,23088.0,37334.73
1771010286,2026-02-14T03:18:06.238500,0.1375,0.139,0.136,0.003,20836.84,23513.52
1771010466,2026-02-14T03:21:06.300849,0.137,0.138,0.136,0.002,16420.36,22592.62
1771010646,2026-02-14T03:24:06.163732,0.138,0.139,0.137,0.002,10729.720000000001,29118.4
1771010826,2026-02-14T03:27:06.267164,0.1365,0.137,0.136,0.001,8000.9,24595.25
1771011006,2026-02-14T03:30:06.272392,0.1345,0.136,0.133,0.003,12080.800000000001,20506.510000000002
1771011186,2026-02-14T03:33:06.246039,0.135,0.137,0.133,0.004,9530.94,24659.95
1771011366,2026-02-14T03:36:06.428390,0.1345,0.136,0.133,0.003,10645.02,29094.739999999998
1771011546,2026-02-14T03:39:06.503165,0.131,0.132,0.13,0.002,10563.89,27673.56
1771011726,2026-02-14T03:42:06.389185,0.129,0.131,0.127,0.004,3796.27,15173.66
1771011906,2026-02-14T03:45:06.448673,0.126,0.128,0.124,0.004,9441.91,14932.9
1771012086,2026-02-14T03:48:06.434573,0.126,0.128,0.124,0.004,15181.470000000001,10816.41
1771012266,2026-02-14T03:51:06.489663,0.1255,0.127,0.124,0.003,16185.5,10159.19
1771012446,2026-02-14T03:54:06.466880,0.1255,0.127,0.124,0.003,15608.019999999999,9121.36
1771012626,2026-02-14T03:57:06.728167,0.1255,0.128,0.123,0.005,15230.64,8493.98
1771012806,2026-02-14T04:00:06.675199,0.139,0.144,0.134,0.01,33899.49,16875.13
1771012986,2026-02-14T04:03:06.653182,0.1305,0.132,0.129,0.003,2258.02,8560.720000000001
1771013166,2026-02-14T04:06:06.679380,0.128,0.13,0.124,0.008,7835.46,7670.33
1771013346,2026-02-14T04:09:06.636023,0.13,0.133,0.127,0.006,4230.47,10164.72
1771013526,2026-02-14T04:12:06.697468,0.13,0.132,0.128,0.004,4342.02,8393.960000000001
1771013706,2026-02-14T04:15:06.653007,0.13,0.132,0.128,0.004,4519.32,8456.64
1771013886,2026-02-14T04:18:06.656240,0.131,0.132,0.13,0.002,3139.93,8286.77
1771014066,2026-02-14T04:21:06.746862,0.1445,0.15,0.14,0.009,2109.63,16981.8
1771014246,2026-02-14T04:24:06.725195,0.15,0.158,0.142,0.016,1654.48,12158.02
1771014426,2026-02-14T04:27:06.876357,0.1475,0.154,0.141,0.013,1175.4,1669.69
1771014606,2026-02-14T04:30:06.895594,0.1535,0.154,0.153,0.001,936.9399999999999,1500.76
1771014786,2026-02-14T04:33:06.869283,0.146,0.149,0.143,0.006,1329.15,1960.6200000000001
1771014966,2026-02-14T04:36:06.868448,0.1465,0.147,0.146,0.001,1910.65,14936.01
1771015146,2026-02-14T04:39:06.926501,0.1455,0.147,0.144,0.003,1313.39,24223.16
1771015326,2026-02-14T04:42:06.904499,0.145,0.146,0.144,0.002,1424.49,23745.309999999998
1771015506,2026-02-14T04:45:06.995840,0.143,0.145,0.141,0.004,7104.099999999999,27422.38
1771015686,2026-02-14T04:48:06.982579,0.1425,0.144,0.141,0.003,7120.63,20471.22
1771015867,2026-02-14T04:51:07.024050,0.1425,0.145,0.14,0.005,5716.4,26234.59
1771016047,2026-02-14T04:54:07.115537,0.1415,0.143,0.14,0.003,6788.53,27405.16
1771016227,2026-02-14T04:57:07.226014,0.139,0.14,0.138,0.002,7794.5199999999995,18487.99
1771016407,2026-02-14T05:00:07.228274,0.1385,0.14,0.137,0.003,16927.57,18801.68
1771016587,2026-02-14T05:03:07.153626,0.1385,0.14,0.137,0.003,18150.03,20766.32
1771016767,2026-02-14T05:06:07.137146,0.1355,0.138,0.133,0.005,23767.18,9745.54
1771016947,2026-02-14T05:09:07.214704,0.135,0.137,0.133,0.004,14157.38,11829.69
1771017127,2026-02-14T05:12:07.222736,0.134,0.136,0.132,0.004,16616.36,17938.420000000002
1771017307,2026-02-14T05:15:07.236687,0.1345,0.135,0.134,0.001,16936.12,16410.96
1771017487,2026-02-14T05:18:07.385601,0.134,0.136,0.132,0.004,16918.37,18811.760000000002
1771017667,2026-02-14T05:21:07.230273,0.134,0.136,0.132,0.004,16753.84,25748.13
1771017847,2026-02-14T05:24:07.261936,0.1335,0.135,0.132,0.003,14224.18,25785.28
1771018027,2026-02-14T05:27:07.312240,0.1325,0.134,0.131,0.003,12439.130000000001,23753.4
1771018207,2026-02-14T05:30:07.429557,0.133,0.134,0.132,0.002,13520.5,26273.96
1771018387,2026-02-14T05:33:07.360787,0.1335,0.134,0.133,0.001,12090.17,29121.6
1771018567,2026-02-14T05:36:07.438964,0.1325,0.133,0.132,0.001,11869.46,24373.03
1771018747,2026-02-14T05:39:07.446948,0.1325,0.133,0.132,0.001,11508.84,24801.41
1771019107,2026-02-14T05:45:07.455205,0.132,0.133,0.131,0.002,36141.7,31550.51
1771019287,2026-02-14T05:48:07.489434,0.132,0.133,0.131,0.002,36329.37,28196.02
1771019467,2026-02-14T05:51:07.509197,0.132,0.133,0.131,0.002,36015.29,27970.52
1771019647,2026-02-14T05:54:07.515292,0.132,0.133,0.131,0.002,35987.7,44765.32
1771019827,2026-02-14T05:57:07.586593,0.132,0.133,0.131,0.002,35191.49,38000.659999999996
1771020007,2026-02-14T06:00:07.662481,0.132,0.133,0.131,0.002,34244.5,37139.909999999996
1771020187,2026-02-14T06:03:07.655552,0.1315,0.132,0.131,0.001,45075.61,35908.82
1771020367,2026-02-14T06:06:07.572981,0.1385,0.143,0.134,0.009,14746.17,37635.21
1771020547,2026-02-14T06:09:07.661449,0.138,0.14,0.136,0.004,7197.26,20928.13
1771020727,2026-02-14T06:12:07.702828,0.139,0.142,0.136,0.006,8105.61,36755.58
1771020907,2026-02-14T06:15:07.715143,0.1415,0.143,0.14,0.003,27926.2,24557.68
1771021087,2026-02-14T06:18:07.720888,0.1425,0.144,0.141,0.003,21380.4,25890.29
1771021267,2026-02-14T06:21:07.706961,0.1425,0.144,0.141,0.003,20806.13,25996.04
1771021447,2026-02-14T06:24:07.912222,0.1435,0.144,0.143,0.001,20072.09,43441.8
1771021627,2026-02-14T06:27:07.855693,0.1425,0.144,0.141,0.003,22879.83,45094.25
1771021807,2026-02-14T06:30:07.823661,0.1425,0.144,0.141,0.003,26670.68,48838.0
1771021987,2026-02-14T06:33:07.876658,0.1425,0.144,0.141,0.003,26453.690000000002,46996.93
1771022172,2026-02-14T06:36:12.486964,0.142,,,0.004,25005.28,59959.729999999996
1771022347,2026-02-14T06:39:07.867171,0.1425,0.144,0.141,0.003,27592.91,60689.51
1771022527,2026-02-14T06:42:07.890810,0.1425,0.144,0.141,0.003,20533.75,60334.64
1771022707,2026-02-14T06:45:07.931318,0.142,0.143,0.141,0.002,19347.4,53267.59
1771022887,2026-02-14T06:48:07.951701,0.1395,0.14,0.139,0.001,15984.16,54989.47
1771023068,2026-02-14T06:51:08.199514,0.138,0.14,0.136,0.004,16284.52,62011.9
1771023248,2026-02-14T06:54:08.079374,0.1375,0.139,0.136,0.003,17905.8,52824.67
1771023428,2026-02-14T06:57:08.076278,0.1375,0.139,0.136,0.003,17690.51,52379.950000000004
1771023608,2026-02-14T07:00:08.090335,0.1375,0.139,0.136,0.003,17159.07,52093.62
1771023788,2026-02-14T07:03:08.082861,0.138,0.14,0.136,0.004,17054.1,42983.33
1771023968,2026-02-14T07:06:08.071793,0.138,0.14,0.136,0.004,15011.66,42700.43
1771024148,2026-02-14T07:09:08.088419,0.1375,0.139,0.136,0.003,14987.05,49613.16
1771024328,2026-02-14T07:12:08.224434,0.1355,0.139,0.132,0.007,16927.29,49954.54
1771024508,2026-02-14T07:15:08.226765,0.135,0.138,0.132,0.006,16845.42,32185.239999999998
1771024688,2026-02-14T07:18:08.230052,0.135,0.138,0.132,0.006,16123.6,31896.95
1771024868,2026-02-14T07:21:08.252291,0.137,0.139,0.135,0.004,12591.31,27264.41
1771025048,2026-02-14T07:24:08.435620,0.1475,0.15,0.145,0.005,9893.02,4969.21
1771025228,2026-02-14T07:27:08.214648,0.143,0.149,0.137,0.012,8305.89,15965.26
1771025408,2026-02-14T07:30:08.315204,0.141,0.145,0.137,0.008,4837.95,11016.88
1771025588,2026-02-14T07:33:08.324648,0.136,0.137,0.135,0.002,10239.82,25570.54
1771025768,2026-02-14T07:36:08.402391,0.1325,0.133,0.132,0.001,16216.42,29880.35
1771025948,2026-02-14T07:39:08.441414,0.132,0.133,0.131,0.002,40935.26,29393.96
1771026128,2026-02-14T07:42:08.447002,0.129,0.13,0.128,0.002,9955.29,42608.159999999996
1771026308,2026-02-14T07:45:08.467608,0.129,0.13,0.128,0.002,9789.960000000001,32011.61
1771026488,2026-02-14T07:48:08.469507,0.129,0.13,0.128,0.002,11493.81,31910.97
1771026668,2026-02-14T07:51:08.510669,0.1285,0.13,0.127,0.003,12989.619999999999,35320.060000000005
1771026848,2026-02-14T07:54:08.493897,0.131,0.132,0.13,0.002,28041.83,9282.369999999999
1771027028,2026-02-14T07:57:08.532871,0.136,0.14,0.132,0.008,23279.75,6092.89
1771027208,2026-02-14T08:00:08.647447,0.138,0.143,0.133,0.01,34530.99,8286.01
1771027388,2026-02-14T08:03:08.541139,0.1515,0.153,0.15,0.003,26142.46,5229.93
1771027568,2026-02-14T08:06:08.666312,0.1525,0.16,0.145,0.015,26147.97,2585.23
1771027748,2026-02-14T08:09:08.639809,0.153,0.16,0.146,0.034,16695.5,1580.08
1771027928,2026-02-14T08:12:08.601283,0.1525,0.158,0.147,0.011,13552.99,1620.3899999999999
1771028108,2026-02-14T08:15:08.715068,0.153,0.158,0.148,0.01,13203.67,745.3
1771028288,2026-02-14T08:18:08.654029,0.1485,0.152,0.145,0.007,18997.78,183.42000000000002
1771028468,2026-02-14T08:21:08.695388,0.1555,0.159,0.152,0.007,2787.7799999999997,14746.36
1771028648,2026-02-14T08:24:08.724583,0.153,0.154,0.152,0.002,10187.59,1070.72
1771028828,2026-02-14T08:27:08.861605,0.1535,0.155,0.152,0.003,17128.11,10574.24
1771029008,2026-02-14T08:30:08.811312,0.1535,0.154,0.153,0.001,17760.86,11970.0
1771029188,2026-02-14T08:33:08.879555,0.1625,0.165,0.16,0.005,14150.69,12756.42
1771029368,2026-02-14T08:36:08.867919,0.1605,0.163,0.158,0.005,11611.13,14471.66
1771029548,2026-02-14T08:39:08.919277,0.1615,0.164,0.159,0.005,12116.18,13773.71
1771029728,2026-02-14T08:42:08.944722,0.16,0.164,0.156,0.008,2253.55,13498.59
1771029908,2026-02-14T08:45:08.869859,0.1565,0.158,0.155,0.003,2021.84,10225.689999999999
1771030088,2026-02-14T08:48:08.922237,0.1525,0.154,0.151,0.003,12653.42,5920.35
1771030269,2026-02-14T08:51:09.049140,0.1545,0.156,0.153,0.003,15870.29,7527.719999999999
1771030453,2026-02-14T08:54:13.695965,0.157,,,0.004,19605.09,9396.99
1771030629,2026-02-14T08:57:09.022242,0.1575,0.159,0.156,0.003,9932.380000000001,9001.63
1771030809,2026-02-14T09:00:09.080847,0.1615,0.163,0.16,0.003,8030.75,12300.18
1771030989,2026-02-14T09:03:09.094511,0.1585,0.161,0.156,0.005,7701.16,10417.83
1771031169,2026-02-14T09:06:09.239051,0.159,0.162,0.156,0.006,8489.130000000001,10365.83
1771031349,2026-02-14T09:09:09.041577,0.158,0.16,0.156,0.004,7700.05,4420.94
1771031529,2026-02-14T09:12:09.148207,0.1575,0.16,0.155,0.005,16185.82,5102.3099999999995
1771031709,2026-02-14T09:15:09.227814,0.156,0.158,0.154,0.004,15269.949999999999,3382.32
1771031889,2026-02-14T09:18:09.226381,0.16,0.161,0.159,0.002,2980.73,13791.89
1771032069,2026-02-14T09:21:09.242828,0.1595,0.16,0.159,0.001,9301.24,8458.72
1771032249,2026-02-14T09:24:09.264669,0.1585,0.16,0.157,0.003,18060.620000000003,6127.11
1771032429,2026-02-14T09:27:09.295159,0.1585,0.16,0.157,0.003,17797.12,6962.1
1771032609,2026-02-14T09:30:09.296460,0.1585,0.16,0.157,0.003,17231.010000000002,6740.3099999999995
1771032789,2026-02-14T09:33:09.281865,0.156,0.158,0.154,0.004,16298.65,6038.57
1771032969,2026-02-14T09:36:09.438695,0.155,0.157,0.153,0.004,11819.17,8915.06
1771033149,2026-02-14T09:39:09.490955,0.154,0.156,0.152,0.004,11417.89,11639.46
1771033329,2026-02-14T09:42:09.459162,0.1555,0.156,0.155,0.001,13689.460000000001,13229.97
1771033509,2026-02-14T09:45:09.392416,0.1555,0.157,0.154,0.003,13517.69,11966.07
1771033689,2026-02-14T09:48:09.421623,0.1565,0.157,0.156,0.001,12963.9,12727.63
1771033869,2026-02-14T09:51:09.463652,0.155,0.157,0.153,0.004,13546.16,12049.46
1771034049,2026-02-14T09:54:09.479112,0.155,0.157,0.153,0.004,12065.7,8124.4800000000005
1771034229,2026-02-14T09:57:09.507755,0.1535,0.155,0.152,0.003,1763.6,6975.92
1771034409,2026-02-14T10:00:09.524644,0.153,0.157,0.154,0.003,3738.4,3029.17
1771034589,2026-02-14T10:03:09.558735,0.154,0.158,0.15,0.008,4309.4,1809.8
1771034769,2026-02-14T10:06:09.521704,0.1535,0.157,0.15,0.007,3316.71,11460.3
1771034949,2026-02-14T10:09:09.663516,0.1545,0.156,0.153,0.003,210.54000000000002,10921.47
1771035129,2026-02-14T10:12:09.670523,0.1545,0.158,0.151,0.007,930.05,10970.69
1771035309,2026-02-14T10:15:09.642852,0.154,0.158,0.15,0.008,4148.11,9974.91
1771035489,2026-02-14T10:18:09.656085,0.152,0.157,0.147,0.01,7010.0,8826.73
1771035669,2026-02-14T10:21:09.651271,0.1515,0.156,0.147,0.009,10241.9,7127.04
1771035849,2026-02-14T10:24:09.715798,0.153,0.156,0.15,0.006,2838.97,6459.56
1771036029,2026-02-14T10:27:09.863998,0.154,0.158,0.15,0.008,4562.15,5361.1900000000005
1771036209,2026-02-14T10:30:09.779808,0.153,0.156,0.15,0.006,6256.49,6135.18
1771036389,2026-02-14T10:33:09.871921,0.1555,0.158,0.153,0.005,2599.6,5561.1900000000005
1771036569,2026-02-14T10:36:09.916795,0.155,0.157,0.153,0.004,3198.6,4147.2300000000005
1771036749,2026-02-14T10:39:09.869015,0.1565,0.159,0.154,0.005,3247.07,3608.6099999999997
1771036929,2026-02-14T10:42:09.873463,0.1575,0.159,0.156,0.003,4013.44,9820.17
1771037109,2026-02-14T10:45:09.915126,0.1605,0.162,0.16,0.001,3040.44,9309.55
1771037290,2026-02-14T10:48:10.118865,0.161,0.162,0.16,0.002,6639.03,7275.839999999999
1771037469,2026-02-14T10:51:09.926501,0.1585,0.16,0.157,0.003,7914.99,7215.0199999999995
1771037649,2026-02-14T10:54:09.941952,0.1545,0.155,0.154,0.001,4205.56,5812.860000000001
1771037830,2026-02-14T10:57:10.103042,0.152,0.154,0.149,0.005,8442.98,15703.39
