session_id,num_trades,total_volume,max_trade,has_large_trade,first_side,last_side,anomaly_score,is_sniper,suspicious_rank
0x16f31f9d8d0a71f372dc5d897f67bba6c75edda5_1,41,40.999344,0.999984,False,BUY,BUY,-0.60716530059599,1,1
0x4a72457138f4878d58e80a724c59bdb92efd24af_9,60,2.35794,0.38622,False,SELL,SELL,-0.6037667517261639,1,2
0xc09bf73d653d1b6b6adfc620e26c398a70a965c3_1,25,252.048524,41.95625,False,BUY,BUY,-0.6019959687717673,1,3
0xb6be04ecf043f6b1bd84e7457069a424fe7db7e5_1,66,28.85724,2.25,False,BUY,BUY,-0.6016055677048734,1,4
0x8ea7c2be8d5be03b4f66155ab13bf8d28eee60ba_5,27,4.64923,1.472,False,SELL,SELL,-0.6006476302539403,1,5
0xc5bdf06de8ac9e1a904408d101c0cdc86571ceaa_1,21,957.50533,287.1,False,SELL,SELL,-0.5999616486466908,1,6
0x6c979ffcc3528a5d2395a2f7c89135711da0988c_12,34,2383.2580000000003,500.973,False,BUY,BUY,-0.597140847651104,1,7
0xfb49e852385dead869d0b2c4c8d83111d992404d_1,229,149.92000000000002,8.96,False,BUY,BUY,-0.5966532396110109,1,8
0x56f6eb431088fb5017570168974004daa654b42b_2,28,182.6898,93.74983,False,SELL,SELL,-0.5952774659044608,1,9
0x40c54e7f9fe32843a8174f927338e87d8fc85cba_6,16,134.45711,10.490099999999998,False,BUY,BUY,-0.594643858233306,1,10
