timestamp,datetime,midpoint,best_bid,best_ask,spread,bid_depth_top5,ask_depth_top5
1771007697,2026-02-14T02:34:57.634311,0.0245,0.025,0.024,0.001,214390.19999999998,287430.65
1771007947,2026-02-14T02:39:07.231336,0.0245,0.025,0.024,0.001,215452.54,262298.2
1771008127,2026-02-14T02:42:07.237981,0.0245,0.025,0.024,0.001,214483.15,262185.75
1771008307,2026-02-14T02:45:07.286527,0.0245,0.025,0.024,0.001,209052.65,264092.14
1771008487,2026-02-14T02:48:07.239742,0.0245,0.025,0.024,0.001,209034.93,263975.14
1771008847,2026-02-14T02:54:07.374464,0.0245,0.025,0.024,0.001,206824.97,288875.54
1771009027,2026-02-14T02:57:07.362110,0.0245,0.025,0.024,0.001,204797.31,287052.25
1771009207,2026-02-14T03:00:07.461103,0.0245,0.025,0.024,0.001,199896.96,285662.67
1771009387,2026-02-14T03:03:07.528842,0.0245,0.025,0.024,0.001,199896.96,290194.91000000003
1771009567,2026-02-14T03:06:07.461037,0.0245,0.025,0.024,0.001,201958.52,289758.43
1771009747,2026-02-14T03:09:07.454121,0.0245,0.025,0.024,0.001,202055.5,289771.43
1771009932,2026-02-14T03:12:12.485318,0.0245,,,0.001,201387.53,289771.43
1771010107,2026-02-14T03:15:07.651860,0.0245,0.025,0.024,0.001,201629.19,289771.43
1771010287,2026-02-14T03:18:07.666990,0.0245,0.025,0.024,0.001,201728.74,289885.06
1771010467,2026-02-14T03:21:07.686934,0.0245,0.025,0.024,0.001,203723.89,287508.06
1771010647,2026-02-14T03:24:07.621673,0.0245,0.025,0.024,0.001,203738.19,286670.31
1771010827,2026-02-14T03:27:07.645520,0.0245,0.025,0.024,0.001,203331.67,280049.27
1771011007,2026-02-14T03:30:07.660548,0.0245,0.025,0.024,0.001,206116.75,280128.79
1771011187,2026-02-14T03:33:07.592303,0.0245,0.025,0.024,0.001,208466.75,279134.61
1771011367,2026-02-14T03:36:07.876757,0.0245,0.025,0.024,0.001,211396.88,262906.7
1771011547,2026-02-14T03:39:07.891587,0.0245,0.025,0.024,0.001,214235.18,267042.98
1771011727,2026-02-14T03:42:07.848020,0.0245,0.025,0.024,0.001,214235.18,268015.98
1771011907,2026-02-14T03:45:07.942217,0.0245,0.025,0.024,0.001,213749.94,267873.26
1771012087,2026-02-14T03:48:07.830706,0.0245,0.025,0.024,0.001,213738.08,267909.44
1771012267,2026-02-14T03:51:07.879578,0.0245,0.025,0.024,0.001,213573.38,267968.35
1771012447,2026-02-14T03:54:07.858403,0.0245,0.025,0.024,0.001,103806.20999999999,267887.38
1771012628,2026-02-14T03:57:08.226524,0.0255,0.026,0.025,0.001,127167.3,381284.24
1771012808,2026-02-14T04:00:08.067993,0.0255,0.026,0.025,0.001,147059.17,381121.75
1771012988,2026-02-14T04:03:08.161534,0.026,0.027,0.025,0.002,141488.06,422273.43
1771013168,2026-02-14T04:06:08.090244,0.026,0.027,0.025,0.002,141686.89,422164.3
1771013348,2026-02-14T04:09:08.215801,0.026,0.027,0.025,0.002,140247.85,420044.79
1771013528,2026-02-14T04:12:08.112643,0.026,0.027,0.025,0.002,140185.69,420038.2
1771013708,2026-02-14T04:15:08.213027,0.026,0.027,0.025,0.002,149299.9,429997.62
1771013888,2026-02-14T04:18:08.064034,0.026,0.027,0.025,0.002,148990.31,428582.36
1771014068,2026-02-14T04:21:08.143790,0.026,0.027,0.025,0.002,148527.0,428244.76
1771014248,2026-02-14T04:24:08.082602,0.026,0.027,0.025,0.002,149805.28,428234.72
1771014428,2026-02-14T04:27:08.259189,0.026,0.027,0.025,0.002,148913.31,421550.94
1771014608,2026-02-14T04:30:08.301398,0.026,0.027,0.025,0.002,152502.7,434181.8
1771014788,2026-02-14T04:33:08.288973,0.026,0.027,0.025,0.002,155462.7,434144.33999999997
